59,80594,"Castellfollit del Boix","59.3555",8.0108,7,8,20160505,201707262100,407,700,"Bages"
60,80608,"Castellfollit de Riubregós","26.2786",37.1128,6,8,20141022,201707262100,201,467,"Anoia"
61,80615,"Castellgalí",NULL,28.1336,7,8,NULL,201707262100,1436,266,"Bages"
62,80620,"Castellnou de Bages","29.1210",33.994,7,8,20160505,201707262100,837,469,"Bages"
63,80636,"Castellolí","25.34",5.7153,6,8,20101117,201707262100,460,415,"Anoia"
64,80641,"Castellterçol","31.9423",12.387,42,8,20171213,201801011500,2202,726,"Moianès"
65,80654,"Castellví de la Marca",NULL,0.9194,3,8,NULL,201707262100,1603,198,"Alt Penedès"
66,80667,"Castellví de Rosanes",NULL,21.271,11,8,NULL,201801011500,1505,178,"Baix Llobregat"
67,80673,"Centelles","15.3398",7.3028,24,8,20150429,201707262100,6671,496,"Osona"
68,80689,"Cervelló",NULL,5.5368,11,8,NULL,201707262100,7674,122,"Baix Llobregat"
69,80692,"Collbató","18.06",6.8042,11,8,20111214,201707262100,3576,388,"Baix Llobregat"
70,80706,"Collsuspina","15.1276",35.2443,42,8,20160505,201707262100,316,901,"Moianès"
71,80713,"Copons","18.69",29.1378,6,8,20111214,201707262100,289,432,"Anoia"
72,80728,"Corbera de Llobregat",NULL,8.1521,11,8,NULL,201801011500,12805,342,"Baix Llobregat"
73,80734,"Cornellà de Llobregat",NULL,14.0848,11,8,NULL,201707262100,84289,27,"Baix Llobregat"
74,80749,"Cubelles",NULL,25.9971,17,8,NULL,201707262100,11835,12,"Garraf"
75,80752,"Dosrius",NULL,18.9478,21,8,NULL,201707262100,4469,147,"Maresme"
76,80765,"Esparreguera","27.3013",30.6645,11,8,20160505,201707262100,21145,187,"Baix Llobregat"
77,80771,"Esplugues de Llobregat",NULL,13.3455,11,8,NULL,201707262100,46808,110,"Baix Llobregat"
78,80787,"l'Espunyola",NULL,14.0536,14,8,NULL,201801011500,272,803,"Berguedà"
79,80790,"l'Estany","10.2438",19.0706,42,8,20160505,201707262100,383,870,"Moianès"
80,80804,"Fígols","29.3929",30.6571,14,8,20170726,201707262100,42,1154,"Berguedà"
81,80811,"Fogars de Montclús",NULL,39.3429,41,8,NULL,201707262100,437,386,"Vallès Oriental"
82,80826,"Fogars de la Selva",NULL,2.92,34,8,NULL,201707262100,1338,45,"Selva"
83,80832,"Folgueroles",NULL,34.3476,24,8,NULL,201707262100,1983,552,"Osona"
84,80847,"Fonollosa","52.4796",26.7152,7,8,20170726,201707262100,1280,525,"Bages"
85,80850,"Font-rubí",NULL,84.5765,3,8,NULL,201707262100,1394,319,"Alt Penedès"
86,80863,"les Franqueses del Vallès",NULL,12.279,41,8,NULL,201801011500,15817,181,"Vallès Oriental"
87,80879,"Gallifa",NULL,66.3923,40,8,NULL,201801011500,216,502,"Vallès Occidental"
88,80885,"la Garriga",NULL,11.325,41,8,NULL,201801011500,13942,252,"Vallès Oriental"
89,80898,"Gavà",NULL,29.1709,11,8,NULL,201707262100,44531,9,"Baix Llobregat"
90,80902,"Gaià","39.3429",32.8594,7,8,20170726,201707262100,154,481,"Bages"
91,80919,"Gelida",NULL,45.0705,3,8,NULL,201707262100,5976,196,"Alt Penedès"
92,80924,"Gironella",NULL,46.8524,14,8,NULL,201707262100,4786,469,"Berguedà"
93,80930,"Gisclareny",NULL,28.4659,14,8,NULL,201707262100,33,1340,"Berguedà"
94,80945,"la Granada",NULL,30.96,3,8,NULL,201707262100,1754,272,"Alt Penedès"
95,80958,"Granera",NULL,6.9871,42,8,NULL,201801011500,75,782,"Moianès"
96,80961,"Granollers",NULL,13.5442,41,8,NULL,201707262100,58940,145,"Vallès Oriental"
97,80977,"Gualba",NULL,40.6325,41,8,NULL,201707262100,1048,177,"Vallès Oriental"
98,80983,"Sant Salvador de Guardiola","37.0937",27.3013,7,8,20160505,201707262100,2863,334,"Bages"
99,80996,"Guardiola de Berguedà",NULL,6.8654,14,8,NULL,201707262100,931,720,"Berguedà"
100,81000,"Gurb",NULL,36.6804,24,8,NULL,201707262100,2296,516,"Osona"
101,81017,"l'Hospitalet de Llobregat",NULL,6.4531,13,8,NULL,201707262100,248150,8,"Barcelonès"
102,81022,"Igualada","8.1999",23.7058,6,8,20150128,201707262100,36817,313,"Anoia"
103,81038,"Jorba","31.0492",4.4987,6,8,20150128,201707262100,714,380,"Anoia"
104,81043,"la Llacuna",NULL,35.684,6,8,NULL,201707262100,860,615,"Anoia"
105,81056,"la Llagosta",NULL,10.2438,41,8,NULL,201707262100,13674,45,"Vallès Oriental"
106,81069,"Llinars del Vallès",NULL,29.3929,41,8,NULL,201707262100,8425,198,"Vallès Oriental"
107,81075,"Lliçà d'Amunt",NULL,40.164,41,8,NULL,201707262100,12938,145,"Vallès Oriental"
108,81081,"Lliçà de Vall",NULL,32.171,41,8,NULL,201707262100,6033,125,"Vallès Oriental"
109,81094,"Lluçà",NULL,17.2339,24,8,NULL,201801011500,253,745,"Osona"
110,81108,"Malgrat de Mar",NULL,41.6388,21,8,NULL,201801011500,17531,4,"Maresme"
111,81115,"Malla",NULL,12.7667,24,8,NULL,201707262100,257,580,"Osona"
112,81120,"Manlleu",NULL,10.9463,24,8,NULL,201707262100,19979,461,"Osona"
113,81136,"Manresa","41.6388",52.4796,7,8,20170726,201707262100,71772,238,"Bages"
